decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus,eventRemarks,eventTime,eventID,samplingEffort,samplingProtocol,basisOfRecord,recordedBy,recordedByID,eventType
-35.148252,138.463969,2019-10-08T01:03:53Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,9ccc84eb-b059-4d15-8a8e-d5701d2a20d6,Feral or in Peril,ABSENT,NA,09:30:00,81e87936-2200-4bd9-8f9f-45d49830481b,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.14816,138.463889,2019-10-08T01:04:20Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,e00754b4-df23-45dc-be69-216dfd135f4a,Feral or in Peril,ABSENT,NA,10:00:00,85411d9b-5bea-4ecb-a1cd-3baabb77ff99,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.14816,138.463889,2019-10-08T01:03:31Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4c76a051-0cc1-4fef-8156-4fba06faa82f,Feral or in Peril,ABSENT,NA,09:45:00,42695821-d23a-4daa-8586-751033d7070f,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.14809,138.46391,2019-10-08T01:03:24Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4dbd6eca-e95c-40d1-bbe2-4d98bafb26e1,Feral or in Peril,ABSENT,NA,12:15:00,a78de849-f199-4a99-aec6-62c93c2b0d72,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.147809,138.463792,2019-10-08T01:02:57Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ca688569-db4a-4e5b-af86-be6ec7ee2116,Feral or in Peril,ABSENT,NA,10:30:00,40e91b79-3ccf-4a9c-882a-98228aea5557,NA,NA,HUMAN_OBSERVATION,"Cowan, David",NA,NA
-35.14,150.73,2009-04-11T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4660651e-6112-4e40-a41a-09feae66a712,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002391,NA,NA,HUMAN_OBSERVATION,Kms,NA,NA
-35.14,138.46,2016-03-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fa2887e9-5ef3-41b7-a467-7d01a87b9f61,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349780,NA,NA,HUMAN_OBSERVATION,Sjo,NA,NA
-35.14,138.46,2016-03-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,3c9480d0-f97d-4570-91d1-ebfa0236ea95,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349783,NA,NA,HUMAN_OBSERVATION,Sjo,NA,NA
-35.14,138.46,2016-03-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,5878167c-154e-473c-ad68-7c726991e1b6,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349782,NA,NA,HUMAN_OBSERVATION,Sjo,NA,NA
-35.14,138.46,2016-03-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,5f2576ad-8737-45a8-b6ad-4d7891f294b2,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349781,NA,NA,HUMAN_OBSERVATION,Sjo,NA,NA
