TRA Online

"Domestic Overnight Trips"
"Calendar year, Month returned from trip, State and Stopover reason by Summation Options"
"Counting: Overnight trips (000), Sample"

,,,"Summation Options","Overnight trips (000)","Sample",
"Calendar year","Month returned from trip","State","Stopover reason",
"2017","January","1","1",1764.4879254,627,
,,,"101",1605.1107455,569,
,,,"104",36.2208286,12,
,,,"106",19.7371657,8,
,,,"107",94.1931682,33,
,,,"110",1.8755617,1,
,,,"112",0,0,
,,,"113",7.3504558,4,
,,,"114",0,0,
,,,"2",1307.012754,497,
,,,"201",879.1129913,357,
,,,"202",448.7059435,147,
,,,"3",271.8419538,82,
,,,"301",238.9331417,70,
,,,"303",6.9386304,3,
,,,"304",6.9640436,3,
,,,"305",19.0061381,6,
,,,"6",167.7403826,68,
,,,"401",3.3096492,1,
,,,"501",44.3553039,11,
,,,"604",38.0398049,18,
,,,"607",30.6447948,15,
,,,"608",19.7723818,7,
,,,"610",28.5301883,14,
,,,"600",3.0882596,2,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",109.1212505,33,
,,,"801",109.1212505,33,
,,,"9",10.7311721,3,
,,,"901",10.7311721,3,
,,,"999",0,0,
,,"110","1",331.4941711,124,
,,,"101",273.6106803,102,
,,,"104",14.8749319,5,
,,,"106",9.1272622,3,
,,,"107",27.1823258,11,
,,,"110",1.8755617,1,
,,,"112",0,0,
,,,"113",4.8234093,2,
,,,"114",0,0,
,,,"2",350.2757565,157,
,,,"201",264.657748,122,
,,,"202",87.9207356,36,
,,,"3",115.1559373,44,
,,,"301",92.842782,36,
,,,"303",5.1285728,2,
,,,"304",3.7411619,2,
,,,"305",13.4434205,4,
,,,"6",57.5077631,23,
,,,"401",0,0,
,,,"501",12.5936657,4,
,,,"604",12.3220654,7,
,,,"607",14.0063276,5,
,,,"608",7.7478779,2,
,,,"610",10.8378266,5,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",10.2505473,3,
,,,"801",10.2505473,3,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11290","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",3.3162024,1,
,,,"201",3.3162024,1,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11291","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
