TRA Online

"Domestic Overnight Trips"
"Calendar year, Month returned from trip, State and Stopover activity by Summation Options"
"Counting: Overnight trips (000), Sample"

,,,"Summation Options","Overnight trips (000)","Sample",
"Calendar year","Month returned from trip","State","Stopover activity",
"2014","March","1","1",735.7540337,321,
,,,"101",498.1332703,219,
,,,"102",183.9298669,75,
,,,"103",62.5386008,28,
,,,"104",3.4300018,2,
,,,"106",37.8407319,15,
,,,"107",204.6551788,88,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",361.9826914,173,
,,,"200",84.3573935,34,
,,,"201",84.748577,37,
,,,"202",38.1357051,21,
,,,"204",0,0,
,,,"205",7.5430747,3,
,,,"206",54.9695473,25,
,,,"207",38.7272519,20,
,,,"208",0,0,
,,,"209",33.6334953,17,
,,,"210",75.5960697,39,
,,,"290",54.6504419,25,
,,,"3",362.7062326,166,
,,,"301",115.9466677,48,
,,,"302",135.6237535,71,
,,,"303",13.5150115,9,
,,,"304",72.8482216,35,
,,,"305",86.5149955,39,
,,,"401",6.8761005,4,
,,,"402",7.2013285,3,
,,,"403",0,0,
,,,"404",0,0,
,,,"405",0,0,
,,,"406",0,0,
,,,"407",0,0,
,,,"5",340.9429463,162,
,,,"501",17.0379975,7,
,,,"502",42.8554229,19,
,,,"503",14.0449777,8,
,,,"504",183.0222759,87,
,,,"505",1.8435722,1,
,,,"506",10.2764518,7,
,,,"507",60.6320375,32,
,,,"508",58.7290897,29,
,,,"509",1.413814,1,
,,,"510",3.3045798,1,
,,,"512",0,0,
,,,"513",0,0,
,,,"514",0,0,
,,,"515",0,0,
,,,"516",0,0,
,,,"6",1831.2009557,819,
,,,"601",1080.793949,489,
,,,"602",502.0157818,236,
,,,"603",6.2721609,5,
,,,"604",91.3495363,39,
,,,"605",450.5404622,206,
,,,"607",1275.6362015,557,
,,,"608",490.0726492,212,
,,,"609",17.5213143,7,
,,,"610",102.7248994,41,
,,,"611",140.7771187,54,
,,,"613",35.4989481,15,
,,,"9",10.907218,6,
,,,"901",10.907218,6,
,,,"7",191.6373785,69,
,,,"701",191.6373785,69,
,,,"8",0.439365,1,
,,,"801",0.439365,1,
,,"110","1",142.7676813,64,
,,,"101",99.0476246,43,
,,,"102",12.2988198,6,
,,,"103",26.8917453,13,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",25.0609516,10,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",39.8472452,19,
,,,"200",8.8844124,2,
,,,"201",0,0,
,,,"202",3.014105,2,
,,,"204",0,0,
,,,"205",0,0,
,,,"206",12.5749525,6,
,,,"207",1.415779,1,
,,,"208",0,0,
,,,"209",0,0,
,,,"210",6.8741186,6,
,,,"290",8.3309719,4,
,,,"3",134.0324706,67,
,,,"301",65.9498146,29,
,,,"302",50.3921188,29,
,,,"303",3.576479,3,
,,,"304",11.3382571,7,
,,,"305",36.6471329,16,
,,,"401",0,0,
,,,"402",0,0,
,,,"403",0,0,
,,,"404",0,0,
,,,"405",0,0,
,,,"406",0,0,
,,,"407",0,0,
,,,"5",130.3348873,61,
,,,"501",12.0790263,5,
,,,"502",32.6007187,15,
,,,"503",10.0566485,5,
,,,"504",52.1065795,27,
,,,"505",0,0,
,,,"506",2.0993109,2,
,,,"507",0,0,
,,,"508",45.2587158,22,
,,,"509",0,0,
,,,"510",0,0,
,,,"512",0,0,
,,,"513",0,0,
,,,"514",0,0,
,,,"515",0,0,
,,,"516",0,0,
,,,"6",588.0397876,264,
,,,"601",401.7533961,176,
,,,"602",140.4012398,66,
,,,"603",3.5339124,3,
,,,"604",51.5981566,20,
,,,"605",188.9924054,81,
,,,"607",442.400937,199,
,,,"608",179.3908675,75,
,,,"609",6.2542157,2,
,,,"610",12.7997341,7,
,,,"611",17.781225,8,
,,,"613",1.5558737,1,
,,,"9",0,0,
,,,"901",0,0,
,,,"7",77.7330606,28,
,,,"701",77.7330606,28,
,,,"8",0,0,
,,,"801",0,0,
,,"11290","1",0,0,
,,,"101",0,0,
,,,"102",0,0,
,,,"103",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",0,0,
,,,"200",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"204",0,0,
,,,"205",0,0,
,,,"206",0,0,
,,,"207",0,0,
,,,"208",0,0,
,,,"209",0,0,
,,,"210",0,0,
,,,"290",0,0,
,,,"3",1.2082886,1,
,,,"301",0,0,
,,,"302",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",1.2082886,1,
,,,"401",0,0,
,,,"402",0,0,
,,,"403",0,0,
,,,"404",0,0,
,,,"405",0,0,
,,,"406",0,0,
,,,"407",0,0,
,,,"5",0,0,
,,,"501",0,0,
,,,"502",0,0,
,,,"503",0,0,
,,,"504",0,0,
,,,"505",0,0,
,,,"506",0,0,
,,,"507",0,0,
,,,"508",0,0,
,,,"509",0,0,
,,,"510",0,0,
,,,"512",0,0,
,,,"513",0,0,
,,,"514",0,0,
,,,"515",0,0,
,,,"516",0,0,
,,,"6",1.2082886,1,
,,,"601",1.2082886,1,
,,,"602",0,0,
,,,"603",0,0,
,,,"604",0,0,
,,,"605",0,0,
,,,"607",1.2082886,1,
,,,"608",1.2082886,1,
,,,"609",0,0,
,,,"610",0,0,
,,,"611",0,0,
,,,"613",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,"11291","1",0,0,
,,,"101",0,0,
,,,"102",0,0,
,,,"103",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",0,0,
,,,"200",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"204",0,0,
,,,"205",0,0,
,,,"206",0,0,
,,,"207",0,0,
,,,"208",0,0,
,,,"209",0,0,
,,,"210",0,0,
,,,"290",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"302",0,0,
,,,"303",0,0,
