"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-15.868852,128.370979,2024,2024-03-25 06:07:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.868801,128.371811,2024,2024-03-08 16:05:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.868801,128.371811,2024,2024-03-19 14:27:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.868801,128.371811,2024,2024-03-08 16:05:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.866668,128.385973,2024,2024-03-11 06:24:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.866668,128.385973,2024,2024-03-11 06:24:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.861808,128.395205,2024,2024-03-11 10:38:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.861808,128.395205,2024,2024-03-11 10:38:00,"Poephila (Poephila) acuticauda","942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
-15.859483,133.404563,2024,2024-05-21 12:55:00,"Poephila (Poephila) acuticauda","942340-99999","DALY WATERS AWS",-16.25,133.367,"Kalala, Daly Waters, Roper Gulf Region, Northern Territory, Australia","Kalala","Northern Territory"
-15.859483,133.404563,2024,2024-02-04 16:18:00,"Poephila (Poephila) acuticauda","942340-99999","DALY WATERS AWS",-16.25,133.367,"Kalala, Daly Waters, Roper Gulf Region, Northern Territory, Australia","Kalala","Northern Territory"
