"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-25.8805,113.551505,2024,2024-08-10 14:01:00,"Moloch horridus","954020-99999","SHARK BAY AIRPORT",-25.9,113.583,"Francois Peron National Park, Shire Of Shark Bay, Western Australia, 6537, Australia","Francois Peron National Park","Western Australia"
-25.839295,113.556717,2024,2024-08-01 15:07:52,"Moloch horridus","954020-99999","SHARK BAY AIRPORT",-25.9,113.583,"Francois Peron National Park, Shire Of Shark Bay, Western Australia, 6537, Australia","Francois Peron National Park","Western Australia"
-25.83137,131.678203,2024,2024-09-17 16:28:00,"Moloch horridus","944630-99999","CURTIN SPRINGS",-25.317,131.75,"Lasseter Highway, Curtin Springs, Petermann, Macdonnell Region, Northern Territory, Australia","Lasseter Highway","Northern Territory"
-25.81942,113.63978,2024,2024-08-10 14:45:00,"Moloch horridus","954020-99999","SHARK BAY AIRPORT",-25.9,113.583,"Francois Peron National Park, Shire Of Shark Bay, Western Australia, 6537, Australia","Francois Peron National Park","Western Australia"
-25.808122,113.673856,2024,2024-11-08 16:31:01,"Moloch horridus","954020-99999","SHARK BAY AIRPORT",-25.9,113.583,"Francois Peron National Park, Shire Of Shark Bay, Western Australia, 6537, Australia","Francois Peron National Park","Western Australia"
-25.7116,113.508103,2024,2024-08-27 13:19:00,"Moloch horridus","954020-99999","SHARK BAY AIRPORT",-25.9,113.583,"Francois Peron National Park, Shire Of Shark Bay, Western Australia, 6537, Australia","Francois Peron National Park","Western Australia"
-25.354278,130.905553,2024,2024-04-07 14:32:24,"Moloch horridus","944620-99999","YULARA AERO",-25.2,130.983,"Yulara, Northern Territory, 0872, Australia","Yulara","Northern Territory"
-25.347467,131.019097,2024,2024-04-06 11:40:23,"Moloch horridus","944620-99999","YULARA AERO",-25.2,130.983,"Yulara, Northern Territory, 0872, Australia","Yulara","Northern Territory"
-25.282062,127.541128,2024,2024-04-08 15:39:01,"Moloch horridus","944610-99999","GILES METEOROLOGICAL OFFICE",-25.033,128.3,"First Street, Warakurna Roadhouse, Warakurna, Shire Of Ngaanyatjarraku, Western Australia, Australia","First Street","Western Australia"
-25.219392,131.205912,2024,2024-10-19 09:43:00,"Moloch horridus","944620-99999","YULARA AERO",-25.2,130.983,"Yulara, Northern Territory, 0872, Australia","Yulara","Northern Territory"
-25.184013,132.10112,2024,2024-04-14 15:55:46,"Moloch horridus","944630-99999","CURTIN SPRINGS",-25.317,131.75,"Lasseter Highway, Curtin Springs, Petermann, Macdonnell Region, Northern Territory, Australia","Lasseter Highway","Northern Territory"
-24.907271,113.715523,2024,2024-09-28 10:59:27,"Moloch horridus","943000-99999","CARNARVON AIRPORT",-24.888,113.67,"Carnarvon Weather Radar, Carnarvon Road, Massey Bay, Carnarvon, Shire Of Carnarvon, Western Australia, Australia","Carnarvon Weather Radar","Western Australia"
-24.8,114.3,2024,2024-08-14 11:40:00,"Moloch horridus","943000-99999","CARNARVON AIRPORT",-24.888,113.67,"Carnarvon Weather Radar, Carnarvon Road, Massey Bay, Carnarvon, Shire Of Carnarvon, Western Australia, Australia","Carnarvon Weather Radar","Western Australia"
-24.273209,131.390453,2024,2024-04-04 19:52:13,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-24.269747,131.553863,2024,2024-05-14 13:30:49,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-23.707628,133.835555,2024,2024-02-25 10:10:04,"Moloch horridus","943260-99999","ALICE SPRINGS",-23.807,133.902,"Alice Springs Airport, Santa Teresa Road, Connellan, Town of Alice Springs, Northern Territory, 0873, Australia","Alice Springs Airport","Northern Territory"
-23.706057,133.838341,2024,2024-07-06 13:13:00,"Moloch horridus","943260-99999","ALICE SPRINGS",-23.807,133.902,"Alice Springs Airport, Santa Teresa Road, Connellan, Town of Alice Springs, Northern Territory, 0873, Australia","Alice Springs Airport","Northern Territory"
-23.702758,133.877991,2024,2024-08-05 10:40:38,"Moloch horridus","943260-99999","ALICE SPRINGS",-23.807,133.902,"Alice Springs Airport, Santa Teresa Road, Connellan, Town of Alice Springs, Northern Territory, 0873, Australia","Alice Springs Airport","Northern Territory"
-22.911194,131.292741,2024,2024-10-25 05:27:00,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-22.898647,131.771967,2024,2024-08-06 14:14:58,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-22.775814,131.284269,2024,2024-06-17 14:30:49,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-22.752772,131.22487,2024,2024-04-10 09:30:57,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-22.736928,131.195483,2024,2024-05-15 07:40:00,"Moloch horridus","943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
-22.606871,132.492122,2024,2024-04-05 11:59:54,"Moloch horridus","943280-99999","TERRITORY GRAPE FARM",-22.45,133.633,"Territory Grape Property Access, Anmatjere, Central Desert Region, Northern Territory, Australia","Territory Grape Property Access","Northern Territory"
